monthly_income,payment_history_rate,savings_level,active_credits,debt_ratio,payment_capacity,employment_months,conventional_score,product_count,has_mora,age,intelligent_score,profile,recommended_products
2212.39,79.36,3594.69,0,19.84,80.16,74,60,2,1,22,53,BASIC,Debito automatico; Ahorro programado
6775.2,82.67,21869.93,1,24.63,75.37,184,89,3,0,34,86,ADVANCED,Linea paralela; Productos premium; Credito vehicular
11529.07,83.36,35324.19,3,35.98,64.02,32,87,3,0,18,83,ADVANCED,Fondos mutuos; Credito vehicular; Cuenta sueldo premium
6633.34,96.88,2037.7,1,22.77,77.23,84,80,2,0,36,78,ADVANCED,Cuenta sueldo premium; Linea paralela
11806.64,65.94,0.0,0,36.86,63.14,109,56,2,1,32,39,BASIC,Ahorro programado; Programa de educacion financiera
9931.68,81.73,5594.74,1,52.43,47.57,192,78,4,0,65,70,ADVANCED,Credito vehicular; Linea paralela; Cuenta sueldo premium; Productos premium
12959.18,78.56,10731.95,2,69.63,30.37,310,80,2,0,46,59,BASIC,Cuenta de ahorro; Ahorro programado
3502.56,89.69,0.0,1,47.91,52.09,216,73,3,0,35,68,INTERMEDIATE,Credito de consumo; Seguro de proteccion de pagos; Tarjeta de credito inicial
3158.48,100.0,0.0,0,24.94,75.06,276,79,3,0,53,77,ADVANCED,Fondos mutuos; Linea paralela; Productos premium
4808.38,60.88,5781.43,1,33.18,66.82,113,55,2,1,40,41,BASIC,Microcredito controlado; Debito automatico
7300.15,80.58,13168.48,0,52.72,47.28,360,81,3,0,49,74,ADVANCED,Cuenta sueldo premium; Credito vehicular; Credito hipotecario
4054.4,87.12,6591.14,1,39.6,60.4,69,76,3,0,25,74,ADVANCED,Credito hipotecario; Productos premium; Linea paralela
7523.97,47.92,0.0,0,27.49,72.51,25,44,2,1,18,30,BASIC,Ahorro programado; Programa de educacion financiera
5117.82,71.36,32802.69,0,10.06,89.94,58,89,2,0,30,86,ADVANCED,Fondos mutuos; Credito vehicular
3838.98,72.19,5557.96,0,54.0,46.0,119,75,2,0,32,68,INTERMEDIATE,Tarjeta de credito inicial; Prestamo personal
6965.05,80.76,3680.02,1,44.79,55.21,172,77,2,0,43,70,ADVANCED,Credito hipotecario; Cuenta sueldo premium
9446.0,62.5,747.2,1,41.29,58.71,270,53,2,1,40,36,BASIC,Ahorro programado; Programa de educacion financiera
6103.15,93.67,23746.36,1,13.44,86.56,56,93,2,0,21,92,ADVANCED,Linea paralela; Cuenta sueldo premium
8714.1,88.94,0.0,0,21.78,78.22,31,75,2,0,19,73,ADVANCED,Productos premium; Credito hipotecario
7076.19,84.64,17095.04,1,12.47,87.53,158,88,3,0,42,85,ADVANCED,Cuenta sueldo premium; Productos premium; Linea paralela
12484.84,84.0,0.0,2,26.6,73.4,285,82,3,0,47,75,ADVANCED,Credito vehicular; Linea paralela; Cuenta sueldo premium
3631.59,66.47,11185.22,1,75.25,24.75,303,73,2,0,43,54,BASIC,Microcredito controlado; Ahorro programado
9564.27,84.2,16505.57,1,72.49,27.51,255,80,2,0,65,61,BASIC,Programa de educacion financiera; Ahorro programado
4859.61,73.54,6946.24,6,41.69,58.31,100,62,3,0,31,61,INTERMEDIATE,Consolidacion de deuda; Seguro de proteccion de pagos; Credito de consumo
2656.0,100.0,8148.5,4,45.14,54.86,83,76,4,0,29,77,INTERMEDIATE,Consolidacion de deuda; Tarjeta de credito inicial; Credito de consumo; Prestamo personal
4615.64,74.58,7578.7,0,9.89,90.11,236,82,3,0,59,79,ADVANCED,Productos premium; Credito hipotecario; Fondos mutuos
13013.39,81.17,77660.58,1,30.43,69.57,82,94,3,0,32,87,ADVANCED,Credito hipotecario; Credito vehicular; Cuenta sueldo premium
6855.11,61.89,23873.39,3,40.95,59.05,261,61,2,1,43,47,BASIC,Microcredito controlado; Ahorro programado
9122.85,84.04,25777.75,0,53.77,46.23,223,87,3,0,51,80,ADVANCED,Linea paralela; Cuenta sueldo premium; Fondos mutuos
3271.55,85.62,0.0,4,68.01,31.99,45,60,2,0,25,46,BASIC,Cuenta de ahorro; Debito automatico
6935.41,73.62,3733.91,0,12.23,87.77,360,60,2,1,66,48,BASIC,Ahorro programado; Programa de educacion financiera
12077.29,92.83,39097.62,1,11.04,88.96,181,100,2,0,34,96,ADVANCED,Cuenta sueldo premium; Productos premium
8416.47,65.39,26909.97,0,72.67,27.33,360,79,2,0,70,59,BASIC,Microcredito controlado; Programa de educacion financiera
9565.45,59.53,44054.75,1,25.07,74.93,89,66,2,1,27,52,BASIC,Ahorro programado; Debito automatico
13945.29,71.78,43360.64,2,81.73,18.27,101,79,2,0,25,57,BASIC,Ahorro programado; Programa de educacion financiera
7005.93,100.0,8217.71,0,13.41,86.59,260,91,4,0,45,90,ADVANCED,Credito hipotecario; Credito vehicular; Fondos mutuos; Cuenta sueldo premium
7764.3,56.5,14007.35,0,27.86,72.14,104,60,2,1,26,46,BASIC,Programa de educacion financiera; Debito automatico
3675.75,79.72,5985.65,1,13.03,86.97,109,81,2,0,47,79,ADVANCED,Credito vehicular; Productos premium
8904.2,84.15,0.0,2,43.01,56.99,360,77,3,0,53,69,INTERMEDIATE,Consolidacion de deuda; Credito de consumo; Prestamo personal
3732.41,57.23,4085.47,1,40.53,59.47,337,53,2,1,49,39,BASIC,Programa de educacion financiera; Cuenta de ahorro
3707.21,41.74,9997.88,1,78.96,21.04,110,47,2,1,45,18,BASIC,Microcredito controlado; Cuenta de ahorro
13693.06,80.0,13985.99,1,44.97,55.03,240,83,2,0,40,74,ADVANCED,Credito hipotecario; Linea paralela
10575.69,65.76,31502.36,0,12.33,87.67,116,72,2,1,41,59,BASIC,Debito automatico; Programa de educacion financiera
6614.61,77.74,3682.17,1,12.74,87.26,360,60,2,1,56,49,BASIC,Cuenta de ahorro; Programa de educacion financiera
8625.99,93.7,1187.86,0,12.99,87.01,66,81,3,0,26,79,ADVANCED,Cuenta sueldo premium; Productos premium; Fondos mutuos
4947.08,64.34,13013.74,6,66.07,33.93,203,40,2,1,69,19,BASIC,Microcredito controlado; Debito automatico
5377.27,83.31,0.0,0,18.86,81.14,70,75,2,0,22,72,ADVANCED,Linea paralela; Cuenta sueldo premium
2067.65,97.47,2000.11,1,44.24,55.76,80,76,4,0,23,74,ADVANCED,Productos premium; Credito vehicular; Cuenta sueldo premium; Credito hipotecario
3709.54,66.55,3333.82,5,44.0,56.0,330,46,2,1,59,36,BASIC,Ahorro programado; Cuenta de ahorro
16336.47,54.14,62341.96,1,24.94,75.06,111,70,2,1,26,53,BASIC,Microcredito controlado; Programa de educacion financiera
2648.33,90.12,2182.49,1,19.49,80.51,232,82,2,0,51,80,ADVANCED,Credito hipotecario; Productos premium
5968.75,100.0,8420.07,2,43.23,56.77,54,81,3,0,21,80,ADVANCED,Fondos mutuos; Credito vehicular; Cuenta sueldo premium
3503.3,78.01,8461.58,1,47.55,52.45,182,78,3,0,56,73,ADVANCED,Cuenta sueldo premium; Linea paralela; Credito vehicular
3569.31,81.11,4581.23,0,39.22,60.78,216,77,3,0,37,72,ADVANCED,Credito vehicular; Productos premium; Credito hipotecario
1675.45,88.64,3509.6,2,30.03,69.97,142,83,3,0,34,81,ADVANCED,Linea paralela; Cuenta sueldo premium; Productos premium
17138.04,65.89,0.0,1,60.7,39.3,360,77,2,0,58,63,INTERMEDIATE,Consolidacion de deuda; Prestamo personal
2664.78,69.44,6019.32,2,72.01,27.99,7,42,2,1,20,20,BASIC,Cuenta de ahorro; Microcredito controlado
2541.0,57.98,3941.1,0,35.94,64.06,153,54,2,1,41,40,BASIC,Cuenta de ahorro; Microcredito controlado
9988.87,100.0,17787.89,2,13.94,86.06,325,95,3,0,50,94,ADVANCED,Cuenta sueldo premium; Fondos mutuos; Productos premium
3509.33,64.04,0.0,1,30.78,69.22,332,50,2,1,61,36,BASIC,Programa de educacion financiera; Ahorro programado
3400.87,79.63,0.0,0,6.33,93.67,79,75,3,0,34,73,ADVANCED,Productos premium; Credito vehicular; Cuenta sueldo premium
13878.07,93.78,25612.03,1,16.2,83.8,76,90,3,0,39,87,ADVANCED,Linea paralela; Cuenta sueldo premium; Credito hipotecario
6741.03,76.6,9325.06,0,16.06,83.94,40,80,3,0,25,79,ADVANCED,Cuenta sueldo premium; Credito hipotecario; Fondos mutuos
4643.05,60.76,11287.89,0,64.13,35.87,20,46,2,1,19,33,BASIC,Debito automatico; Ahorro programado
7803.02,84.03,22144.83,1,18.45,81.55,51,87,2,0,22,86,ADVANCED,Productos premium; Linea paralela
7112.17,88.51,6402.54,1,51.4,48.6,257,79,2,0,42,73,ADVANCED,Linea paralela; Credito hipotecario
6660.05,75.25,10043.17,4,37.89,62.11,169,75,2,0,34,70,INTERMEDIATE,Prestamo personal; Seguro de proteccion de pagos
4577.2,83.32,18432.72,2,11.19,88.81,242,89,3,0,49,88,ADVANCED,Credito vehicular; Cuenta sueldo premium; Credito hipotecario
6281.63,89.64,22704.99,0,14.6,85.4,360,91,2,0,67,90,ADVANCED,Productos premium; Fondos mutuos
4468.46,89.96,5091.59,0,20.51,79.49,111,85,4,0,27,83,ADVANCED,Cuenta sueldo premium; Credito hipotecario; Productos premium; Credito vehicular
2515.85,85.49,5742.54,0,55.31,44.69,20,75,4,0,21,74,ADVANCED,Fondos mutuos; Cuenta sueldo premium; Credito vehicular; Credito hipotecario
11771.46,89.84,49575.38,0,11.68,88.32,284,97,2,0,43,94,ADVANCED,Linea paralela; Productos premium
12890.82,72.46,693.87,1,30.78,69.22,256,80,3,0,65,71,ADVANCED,Credito hipotecario; Cuenta sueldo premium; Linea paralela
7011.99,76.53,1287.68,0,48.22,51.78,247,74,3,0,51,66,INTERMEDIATE,Credito de consumo; Consolidacion de deuda; Seguro de proteccion de pagos
16339.39,88.18,91447.96,0,10.19,89.81,38,99,4,0,19,95,ADVANCED,Credito vehicular; Linea paralela; Credito hipotecario; Fondos mutuos
2541.61,66.11,4171.92,1,35.5,64.5,244,75,3,0,39,69,INTERMEDIATE,Credito de consumo; Seguro de proteccion de pagos; Prestamo personal
10263.73,56.33,27488.64,4,66.48,33.52,360,52,2,1,68,25,BASIC,Cuenta de ahorro; Ahorro programado
5060.19,87.73,16416.24,1,45.34,54.66,176,84,2,0,31,80,ADVANCED,Productos premium; Credito hipotecario
6320.49,49.38,14133.74,0,78.06,21.94,187,48,2,1,36,19,BASIC,Debito automatico; Cuenta de ahorro
4955.88,76.92,0.0,0,14.73,85.27,131,77,2,0,31,72,ADVANCED,Credito hipotecario; Fondos mutuos
11345.02,51.77,11.24,0,61.97,38.03,178,49,2,1,37,28,BASIC,Ahorro programado; Programa de educacion financiera
15287.54,83.57,53653.2,2,28.19,71.81,311,97,3,0,62,90,ADVANCED,Credito hipotecario; Fondos mutuos; Cuenta sueldo premium
12178.24,96.57,112.28,0,5.39,94.61,219,88,3,0,45,84,ADVANCED,Credito hipotecario; Productos premium; Fondos mutuos
6005.04,69.74,0.0,0,27.42,72.58,225,74,3,0,48,67,INTERMEDIATE,Seguro de proteccion de pagos; Prestamo personal; Credito de consumo
7648.51,91.38,2280.11,1,36.21,63.79,180,80,4,0,41,74,ADVANCED,Productos premium; Linea paralela; Credito vehicular; Fondos mutuos
11343.95,93.42,0.0,0,39.65,60.35,360,82,3,0,64,75,ADVANCED,Productos premium; Credito hipotecario; Linea paralela
5417.31,99.01,10938.26,0,18.74,81.26,130,88,3,0,30,87,ADVANCED,Linea paralela; Productos premium; Credito hipotecario
15421.58,60.75,18067.57,6,62.06,37.94,154,70,2,0,32,62,INTERMEDIATE,Prestamo personal; Credito de consumo
4232.6,81.71,2909.3,0,53.14,46.86,360,73,4,0,55,67,INTERMEDIATE,Prestamo personal; Credito de consumo; Consolidacion de deuda; Seguro de proteccion de pagos
3439.89,65.64,3810.57,6,70.04,29.96,338,60,2,0,60,47,BASIC,Debito automatico; Microcredito controlado
9052.18,87.24,0.0,1,76.61,23.39,131,72,2,0,58,52,BASIC,Cuenta de ahorro; Ahorro programado
14095.57,75.39,0.0,0,60.26,39.74,360,76,4,0,54,64,INTERMEDIATE,Seguro de proteccion de pagos; Tarjeta de credito inicial; Prestamo personal; Credito de consumo
8012.32,75.06,11478.21,1,33.08,66.92,160,84,4,0,31,78,ADVANCED,Productos premium; Credito hipotecario; Cuenta sueldo premium; Credito vehicular
5567.67,65.72,18496.69,1,40.09,59.91,132,60,2,1,45,47,BASIC,Ahorro programado; Debito automatico
9033.86,64.48,2459.98,1,36.15,63.85,245,55,2,1,53,39,BASIC,Debito automatico; Cuenta de ahorro
4595.2,67.3,2329.42,0,35.27,64.73,27,47,2,1,21,36,BASIC,Debito automatico; Ahorro programado
2763.61,90.92,9092.26,3,49.07,50.93,261,87,2,0,58,83,ADVANCED,Productos premium; Credito hipotecario
5549.19,75.1,6420.93,2,54.77,45.23,283,77,3,0,49,70,ADVANCED,Fondos mutuos; Cuenta sueldo premium; Credito hipotecario
7659.88,84.85,5142.98,1,18.17,81.83,360,84,3,0,63,80,ADVANCED,Credito hipotecario; Fondos mutuos; Cuenta sueldo premium
6644.01,81.69,19827.88,1,34.51,65.49,359,84,2,0,64,80,ADVANCED,Fondos mutuos; Productos premium
2264.86,83.23,2357.13,1,14.04,85.96,169,83,3,0,59,82,ADVANCED,Credito vehicular; Fondos mutuos; Productos premium
5667.58,79.4,14702.81,2,52.87,47.13,93,87,3,0,24,79,ADVANCED,Cuenta sueldo premium; Fondos mutuos; Linea paralela
9722.32,92.54,10757.6,2,30.18,69.82,58,81,3,0,27,78,ADVANCED,Fondos mutuos; Linea paralela; Productos premium
6501.34,61.24,13857.75,1,65.62,34.38,202,55,2,1,38,28,BASIC,Cuenta de ahorro; Microcredito controlado
2612.89,56.58,0.0,6,47.48,52.52,67,30,2,1,26,21,BASIC,Cuenta de ahorro; Debito automatico
1826.87,58.43,5669.75,0,36.02,63.98,57,51,2,1,20,40,BASIC,Debito automatico; Cuenta de ahorro
2962.01,94.8,16113.05,1,7.21,92.79,274,99,2,0,50,97,ADVANCED,Cuenta sueldo premium; Credito hipotecario
7052.13,53.01,29314.47,2,68.23,31.77,231,57,2,1,53,29,BASIC,Microcredito controlado; Debito automatico
15641.03,78.91,20972.27,0,33.79,66.21,150,89,2,0,41,80,ADVANCED,Linea paralela; Credito vehicular
11406.26,89.46,30587.33,0,37.89,62.11,178,89,2,0,42,84,ADVANCED,Fondos mutuos; Credito hipotecario
3570.39,79.19,965.41,2,52.01,47.99,99,70,3,0,26,64,INTERMEDIATE,Consolidacion de deuda; Tarjeta de credito inicial; Seguro de proteccion de pagos
3311.74,48.95,5540.21,6,84.39,15.61,64,29,2,1,28,7,BASIC,Ahorro programado; Cuenta de ahorro
7256.18,86.65,1813.79,1,35.37,64.63,183,79,4,0,40,73,ADVANCED,Fondos mutuos; Productos premium; Credito vehicular; Cuenta sueldo premium
6580.11,81.93,4735.56,1,27.41,72.59,125,80,3,0,30,75,ADVANCED,Fondos mutuos; Productos premium; Linea paralela
4833.86,79.73,4270.33,2,23.26,76.74,43,76,3,0,21,74,ADVANCED,Productos premium; Credito hipotecario; Credito vehicular
2148.3,87.62,1996.39,3,27.78,72.22,43,75,4,0,29,75,ADVANCED,Credito vehicular; Productos premium; Cuenta sueldo premium; Linea paralela
9774.01,100.0,32955.97,0,25.01,74.99,188,95,3,0,64,93,ADVANCED,Linea paralela; Credito vehicular; Credito hipotecario
15525.68,79.52,15195.38,4,63.62,36.38,133,57,2,1,49,40,BASIC,Microcredito controlado; Ahorro programado
2392.3,67.17,8991.75,4,33.55,66.45,213,63,2,1,36,51,BASIC,Microcredito controlado; Cuenta de ahorro
9277.18,83.41,66042.76,3,29.7,70.3,167,97,3,0,44,89,ADVANCED,Credito hipotecario; Cuenta sueldo premium; Productos premium
9405.49,82.12,0.0,1,48.04,51.96,161,76,3,0,51,68,INTERMEDIATE,Credito de consumo; Consolidacion de deuda; Seguro de proteccion de pagos
3775.37,90.41,0.0,1,48.34,51.66,51,69,4,0,32,66,INTERMEDIATE,Consolidacion de deuda; Prestamo personal; Seguro de proteccion de pagos; Tarjeta de credito inicial
5281.06,95.24,0.0,1,35.34,64.66,97,76,3,0,30,73,ADVANCED,Productos premium; Credito vehicular; Cuenta sueldo premium
4679.66,62.82,7842.16,2,25.59,74.41,51,55,2,1,27,45,BASIC,Cuenta de ahorro; Debito automatico
1772.47,83.2,3702.78,1,44.61,55.39,26,71,3,0,22,70,ADVANCED,Credito vehicular; Credito hipotecario; Cuenta sueldo premium
4298.67,89.01,1356.46,1,10.31,89.69,227,81,3,0,38,79,ADVANCED,Linea paralela; Cuenta sueldo premium; Credito vehicular
3903.38,57.17,2999.49,1,32.18,67.82,270,51,2,1,48,37,BASIC,Programa de educacion financiera; Cuenta de ahorro
5153.62,87.24,0.0,2,41.13,58.87,159,75,3,0,37,69,INTERMEDIATE,Seguro de proteccion de pagos; Tarjeta de credito inicial; Prestamo personal
12539.08,85.59,28517.89,0,33.52,66.48,218,90,2,0,61,84,ADVANCED,Fondos mutuos; Credito vehicular
8846.22,74.87,1745.02,1,74.56,25.44,360,71,2,0,53,50,BASIC,Ahorro programado; Programa de educacion financiera
2287.15,78.24,10215.0,1,59.25,40.75,225,83,2,0,38,76,ADVANCED,Credito hipotecario; Cuenta sueldo premium
5273.16,74.32,0.0,1,15.5,84.5,360,76,3,0,56,71,ADVANCED,Fondos mutuos; Linea paralela; Cuenta sueldo premium
3992.36,64.11,5341.44,5,48.64,51.36,251,65,3,0,43,61,INTERMEDIATE,Tarjeta de credito inicial; Seguro de proteccion de pagos; Consolidacion de deuda
10201.89,78.77,31002.71,1,22.43,77.57,63,85,2,0,26,82,ADVANCED,Credito hipotecario; Linea paralela
9762.22,82.18,6262.71,3,41.3,58.7,123,82,3,0,37,75,ADVANCED,Productos premium; Fondos mutuos; Cuenta sueldo premium
9412.96,80.28,52467.14,0,42.16,57.84,222,90,3,0,35,83,ADVANCED,Linea paralela; Credito vehicular; Cuenta sueldo premium
10831.42,48.33,49396.96,2,75.24,24.76,279,60,2,1,51,28,BASIC,Ahorro programado; Programa de educacion financiera
5511.21,89.64,6161.35,2,48.16,51.84,51,73,2,0,26,70,ADVANCED,Credito hipotecario; Fondos mutuos
11138.01,81.37,15545.81,1,9.0,91.0,210,88,2,0,56,84,ADVANCED,Credito hipotecario; Fondos mutuos
13811.4,93.61,22933.09,0,50.92,49.08,350,90,3,0,46,83,ADVANCED,Linea paralela; Fondos mutuos; Credito vehicular
7117.58,69.92,12050.12,2,62.83,37.17,44,73,4,0,20,67,INTERMEDIATE,Credito de consumo; Prestamo personal; Consolidacion de deuda; Tarjeta de credito inicial
1366.4,70.03,2053.98,3,56.31,43.69,150,71,2,0,32,64,INTERMEDIATE,Credito de consumo; Consolidacion de deuda
1675.8,93.44,2497.57,0,30.07,69.93,94,78,4,0,29,77,ADVANCED,Productos premium; Fondos mutuos; Cuenta sueldo premium; Credito hipotecario
8611.09,61.78,10517.44,1,62.39,37.61,111,56,2,1,29,39,BASIC,Debito automatico; Microcredito controlado
5460.61,56.27,1577.08,3,20.07,79.93,90,51,2,1,26,38,BASIC,Programa de educacion financiera; Debito automatico
6821.01,87.27,0.0,5,32.72,67.28,63,66,3,0,26,66,INTERMEDIATE,Tarjeta de credito inicial; Credito de consumo; Consolidacion de deuda
6238.93,82.42,35256.71,5,35.32,64.68,134,85,3,0,45,82,INTERMEDIATE,Credito de consumo; Prestamo personal; Tarjeta de credito inicial
14752.56,85.56,88004.48,1,24.62,75.38,141,99,4,0,28,92,ADVANCED,Productos premium; Fondos mutuos; Credito hipotecario; Cuenta sueldo premium
3409.48,89.26,5871.85,1,17.72,82.28,168,86,3,0,37,85,ADVANCED,Linea paralela; Productos premium; Fondos mutuos
4615.6,76.04,11971.81,4,72.45,27.55,9,64,2,0,23,52,BASIC,Programa de educacion financiera; Debito automatico
5585.29,90.23,24569.13,1,26.43,73.57,68,86,3,0,33,85,ADVANCED,Cuenta sueldo premium; Credito vehicular; Credito hipotecario
12590.3,74.93,36672.43,1,70.41,29.59,226,81,2,0,44,60,BASIC,Cuenta de ahorro; Ahorro programado
6657.25,88.99,0.0,1,36.84,63.16,95,76,4,0,32,71,ADVANCED,Fondos mutuos; Credito vehicular; Productos premium; Linea paralela
15156.15,96.23,11464.77,0,22.31,77.69,344,91,3,0,52,86,ADVANCED,Credito hipotecario; Fondos mutuos; Cuenta sueldo premium
12442.91,73.19,16534.0,1,38.51,61.49,360,86,2,0,63,78,ADVANCED,Linea paralela; Cuenta sueldo premium
5648.65,56.32,15189.68,1,42.27,57.73,206,55,2,1,45,40,BASIC,Ahorro programado; Debito automatico
11863.9,71.91,0.0,0,32.77,67.23,105,77,2,0,26,68,INTERMEDIATE,Credito de consumo; Prestamo personal
6685.62,90.06,12548.7,0,10.49,89.51,135,87,3,0,35,85,ADVANCED,Fondos mutuos; Credito vehicular; Credito hipotecario
4422.94,86.0,16370.62,3,26.66,73.34,156,86,2,0,40,84,ADVANCED,Productos premium; Cuenta sueldo premium
3106.79,81.15,6233.48,1,31.83,68.17,54,78,2,0,26,77,ADVANCED,Linea paralela; Credito vehicular
6457.84,81.3,12219.53,1,59.42,40.58,132,78,3,0,47,71,ADVANCED,Fondos mutuos; Linea paralela; Productos premium
4167.82,96.56,13626.57,3,24.6,75.4,157,89,3,0,42,88,ADVANCED,Credito hipotecario; Credito vehicular; Fondos mutuos
4892.85,86.37,10815.19,0,32.21,67.79,360,85,4,0,67,82,ADVANCED,Linea paralela; Cuenta sueldo premium; Credito hipotecario; Productos premium
8715.84,55.74,5535.94,6,70.01,29.99,253,37,2,1,38,13,BASIC,Microcredito controlado; Debito automatico
10160.22,85.11,14835.57,0,31.5,68.5,44,80,3,0,20,77,ADVANCED,Credito vehicular; Linea paralela; Cuenta sueldo premium
2338.63,74.23,4493.23,1,51.58,48.42,39,71,3,0,25,68,INTERMEDIATE,Credito de consumo; Consolidacion de deuda; Seguro de proteccion de pagos
4184.89,52.29,11230.39,4,74.76,25.24,146,46,2,1,48,20,BASIC,Microcredito controlado; Ahorro programado
4244.57,58.67,14216.59,5,63.22,36.78,73,68,3,0,26,63,INTERMEDIATE,Tarjeta de credito inicial; Seguro de proteccion de pagos; Consolidacion de deuda
8223.84,55.68,32430.26,1,18.63,81.37,192,64,2,1,53,50,BASIC,Debito automatico; Programa de educacion financiera
4273.52,88.96,2856.06,1,10.35,89.65,115,82,4,0,35,80,ADVANCED,Productos premium; Credito hipotecario; Fondos mutuos; Credito vehicular
12720.83,89.5,22588.07,1,33.97,66.03,88,85,3,0,40,79,ADVANCED,Cuenta sueldo premium; Linea paralela; Productos premium
9312.06,43.9,0.0,1,70.82,29.18,334,44,2,1,48,12,BASIC,Ahorro programado; Microcredito controlado
10597.52,91.29,0.0,0,33.14,66.86,181,82,2,0,42,75,ADVANCED,Productos premium; Linea paralela
13694.92,88.46,19707.93,1,21.85,78.15,86,92,3,0,28,88,ADVANCED,Fondos mutuos; Cuenta sueldo premium; Linea paralela
5983.93,83.3,5952.7,1,67.96,32.04,67,70,2,0,28,54,BASIC,Debito automatico; Ahorro programado
6636.08,74.88,17456.14,0,22.89,77.11,153,88,3,0,39,84,ADVANCED,Credito vehicular; Fondos mutuos; Cuenta sueldo premium
4288.3,52.45,14178.94,3,60.53,39.47,302,52,2,1,48,35,BASIC,Cuenta de ahorro; Microcredito controlado
5206.41,95.41,16352.6,1,26.09,73.91,13,89,4,0,18,88,ADVANCED,Productos premium; Credito vehicular; Fondos mutuos; Cuenta sueldo premium
2262.38,48.77,4679.12,1,18.24,81.76,85,55,2,1,31,44,BASIC,Cuenta de ahorro; Ahorro programado
6518.52,82.05,9927.28,1,76.93,23.07,360,74,2,0,57,55,BASIC,Programa de educacion financiera; Ahorro programado
5674.12,80.99,14559.28,1,43.74,56.26,33,76,4,0,24,73,ADVANCED,Credito hipotecario; Credito vehicular; Linea paralela; Productos premium
12114.73,81.94,0.0,1,35.67,64.33,277,80,4,0,47,72,ADVANCED,Credito vehicular; Fondos mutuos; Cuenta sueldo premium; Linea paralela
11016.26,56.84,22144.96,0,70.37,29.63,1,46,2,1,19,20,BASIC,Debito automatico; Microcredito controlado
3815.37,72.92,10994.82,6,30.91,69.09,209,48,2,1,36,42,BASIC,Debito automatico; Microcredito controlado
2712.32,83.48,6112.59,4,65.11,34.89,276,72,2,0,47,58,BASIC,Programa de educacion financiera; Cuenta de ahorro
2298.01,89.23,2586.42,0,30.79,69.21,15,71,2,0,19,71,ADVANCED,Credito vehicular; Credito hipotecario
8195.16,92.39,16479.34,1,10.07,89.93,114,96,2,0,34,94,ADVANCED,Linea paralela; Cuenta sueldo premium
13210.62,76.39,763.04,1,26.89,73.11,72,78,3,0,30,71,ADVANCED,Credito vehicular; Productos premium; Credito hipotecario
7854.08,77.58,4803.25,1,66.03,33.97,233,75,2,0,52,56,BASIC,Ahorro programado; Cuenta de ahorro
1437.81,53.44,2809.02,1,73.86,26.14,360,45,2,1,63,18,BASIC,Debito automatico; Microcredito controlado
11805.93,91.87,23574.7,1,32.64,67.36,358,92,3,0,55,87,ADVANCED,Fondos mutuos; Credito vehicular; Linea paralela
6300.62,68.42,6823.86,0,17.53,82.47,103,77,2,0,36,72,ADVANCED,Credito vehicular; Credito hipotecario
4023.59,95.8,2769.46,2,27.9,72.1,262,80,2,0,38,77,ADVANCED,Linea paralela; Cuenta sueldo premium
8903.05,88.18,0.0,1,22.37,77.63,260,81,4,0,43,76,ADVANCED,Productos premium; Cuenta sueldo premium; Linea paralela; Fondos mutuos
4501.11,90.46,20271.11,0,25.64,74.36,116,89,3,0,48,87,ADVANCED,Credito hipotecario; Productos premium; Linea paralela
3201.97,93.78,5707.82,0,32.66,67.34,125,86,4,0,29,85,ADVANCED,Credito vehicular; Productos premium; Linea paralela; Credito hipotecario
